Package Name,License,Homepage,Pypi Link,Author,Summary,Docker images
accessdata-ftkc-sdk,MIT License,https://github.com/AccessDataOps/FTKC-SDK,,Thomas Vieth sriram.appusamy@exterro.com,Python Library for AccessData's FTKC API,demisto/accessdata
adal,MIT License,https://github.com/AzureAD/azure-activedirectory-library-for-python,https://pypi.org/project/adal/,Microsoft Corporation nugetaad@microsoft.com,"Note: This library is already replaced by MSAL Python, available here: https://pypi.org/project/msal/ .ADAL Python remains available here as a legacy. The ADAL for Python library makes it easy for python application to authenticate to Azure Active Directory (AAD) in order to access AAD protected web resources.",demisto/ansible-runner
aiodns,MIT License,https://github.com/saghul/aiodns,https://pypi.org/project/aiodns/,Saúl Ibarra Corretgé s@saghul.net,Simple DNS resolver for asyncio,"demisto/py3-native, demisto/slack, demisto/slackv3"
aiofiles,Apache Software License,,https://pypi.org/project/aiofiles/,Tin Tvrtkovic <tinchester@gmail.com>,File support for asyncio.,demisto/anyrun-sdk
aiohappyeyeballs,PSF-2.0 License,,https://pypi.org/project/aiohappyeyeballs/,J. Nick Koston nick@koston.org,Happy Eyeballs for asyncio,"demisto/py3-native, demisto/py3-tools, demisto/ansible-runner, demisto/slack, demisto/anyrun-sdk, demisto/netutils, demisto/slackv3, demisto/auth-utils"
aiohttp,Apache Software License,https://github.com/aio-libs/aiohttp,https://pypi.org/project/aiohttp/,Nikolay Kim fafhrd91@gmail.com,Async http client/server framework (asyncio),"demisto/xsoar-tools-hf, demisto/aiohttp, demisto/py3-native, demisto/py3-tools, demisto/slack, demisto/anyrun-sdk, demisto/netutils, demisto/slackv3, demisto/auth-utils"
aioice,,,https://pypi.org/project/aioice/,Jeremy Lainé <jeremy.laine@m4x.org>,An implementation of Interactive Connectivity Establishment (RFC 5245),demisto/keepercommander
aiolimiter,MIT License,https://github.com/mjpieters/aiolimiter,https://pypi.org/project/aiolimiter/,Martijn Pieters mj@zopatista.com,"asyncio rate limiter, a leaky bucket implementation",demisto/netutils
aiortc,BSD License,,https://pypi.org/project/aiortc/,Jeremy Lainé <jeremy.laine@m4x.org>,An implementation of WebRTC and ORTC,demisto/keepercommander
aiosignal,Apache Software License,https://github.com/aio-libs/aiosignal,https://pypi.org/project/aiosignal/,Nikolay Kim fafhrd91@gmail.com,aiosignal: a list of registered asynchronous callbacks,"demisto/xsoar-tools-hf, demisto/aiohttp, demisto/py3-native, demisto/py3-tools, demisto/ansible-runner, demisto/slack, demisto/anyrun-sdk, demisto/netutils, demisto/slackv3, demisto/auth-utils"
algorithmia,MIT License,http://github.com/algorithmiaio/algorithmia-python,https://pypi.org/project/algorithmia/,Algorithmia support@algorithmia.com,Algorithmia Python Client,"demisto/algorithmia, demisto/py3-native, demisto/py3-tools, demisto/py3-tools-ubi"
algorithmia-adk,MIT License,http://github.com/algorithmiaio/algorithmia-adk-python,https://pypi.org/project/algorithmia-adk/,Algorithmia support@algorithmia.com,Algorithmia Python ADK client,"demisto/algorithmia, demisto/py3-native, demisto/py3-tools, demisto/py3-tools-ubi"
algorithmia-api-client,MIT License,,https://pypi.org/project/algorithmia-api-client/,Algorithmia Support Team support@algorithmia.com,Algorithmia Management APIs,"demisto/algorithmia, demisto/py3-native, demisto/py3-tools, demisto/py3-tools-ubi"
aliyun-python-sdk-alidns,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-alidns/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The alidns module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-core,Apache Software License,https://github.com/aliyun/aliyun-openapi-python-sdk,https://pypi.org/project/aliyun-python-sdk-core/,Alibaba Cloud alibaba-cloud-sdk-dev-team@list.alibaba-inc.com,The core module of Aliyun Python SDK.,demisto/ansible-runner
aliyun-python-sdk-ecs,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-ecs/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The ecs module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-ess,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-ess/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The ess module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-kms,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-kms/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The kms module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-market,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-market/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The market module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-oos,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-oos/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The oos module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-ram,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-ram/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The ram module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-rds,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-rds/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The rds module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-ros,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-ros/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The ros module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-slb,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-slb/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The slb module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-sts,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-sts/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The sts module of Aliyun Python sdk.,demisto/ansible-runner
aliyun-python-sdk-vpc,Apache Software License,http://develop.aliyun.com/sdk/python,https://pypi.org/project/aliyun-python-sdk-vpc/,Aliyun aliyun-developers-efficiency@list.alibaba-inc.com,The vpc module of Aliyun Python sdk.,demisto/ansible-runner
annotated-types,MIT License,,https://pypi.org/project/annotated-types/,"Samuel Colvin <s@muelcolvin.com>, Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Zac Hatfield-Dodds <zac@zhd.dev>",Reusable constraint types to use with typing.Annotated,"demisto/py3-native, demisto/python3-ubi, demisto/commvault, demisto/py3-tools, demisto/vendors-sdk, demisto/keepercommander, demisto/ml, demisto/pytmv1, demisto/py3-tools-ubi, demisto/google-vision-api, demisto/auth-utils"
ansible-runner,Apache,https://github.com/ansible/ansible-runner,https://pypi.org/project/ansible-runner/,Red Hat Ansible,,"demisto/ansible-runner, demisto/tidy"
ansimarkup,BSD License,,https://pypi.org/project/ansimarkup/,Georgi Valkov <georgi.t.valkov@gmail.com>,Produce colored terminal text with an xml-like markup,"demisto/sublime, demisto/greynoise"
antlr4-python3-runtime,BSD,http://www.antlr.org,https://pypi.org/project/antlr4-python3-runtime/,"Eric Vergnaud, Terence Parr, Sam Harwell eric.vergnaud@wanadoo.fr",ANTLR 4.8 runtime for Python 3.7,"demisto/opencti-v4.1.2, demisto/opencti, demisto/threatconnect-tcex, demisto/stix2, demisto/opencti-v4, demisto/py3-native, demisto/flask-nginx, demisto/py3-tools, demisto/vendors-sdk, demisto/taxii2, demisto/py3-tools-ubi"
